"country","totCons2019","perCapitaCons2016"
"United States","27310","9.2600"
"Germany","8670","12.1300"
"Japan","7551",""
"France","6192","11.9000"
"Italy","5469","13"
"Russia","4820",""
"United Kingdom","3770",""
"Spain","3253","9.9200"
"Poland","2501",""
"Netherlands","2030","18.5200"
"Sweden","1769","18"
"Finland","1348","26.4500"
"Belgium","1185","15"
"Austria","1173","13.4500"
"Greece","1139","11.9000"
"Romania","1108",""
"Switzerland","1073","17.4200"
"Portugal","931","9.4800"
"Czech Republic","843",""
"Denmark","778","19.1800"
"Norway","771","21.8200"
"Tunisia","508",""
"Bulgaria","423",""
"Hungary","418",""
"Croatia","381","11.2400"
"Ireland","370",""
"Lithuania","251",""
"Slovakia","227",""
"Luxembourg","224","14.3300"
"Slovenia","204","12.7900"
"Estonia","123","9.9200"
"Cyprus","115","10.8000"
"Latvia","114",""
"Malta","23",""
"Iceland","","19.8400"
"Bosnia and Herzegovina","","13.6700"
"Lebanon","","10.5800"
"Canada","","14.3300"
"Brazil","","12.7900"
